sido,sigungu,car_type,car_purpose,year,month,value
서울,강남구,승용,관용,2025,05,160
서울,강남구,승용,자가용,2025,05,"218,276"
서울,강남구,승용,영업용,2025,05,"14,225"
서울,강남구,승용,계,2025,05,"232,661"
서울,강남구,승합,관용,2025,05,60
서울,강남구,승합,자가용,2025,05,"3,818"
서울,강남구,승합,영업용,2025,05,540
서울,강남구,승합,계,2025,05,"4,418"
서울,강남구,화물,관용,2025,05,187
서울,강남구,화물,자가용,2025,05,"13,521"
서울,강남구,화물,영업용,2025,05,"2,195"
서울,강남구,화물,계,2025,05,"15,903"
서울,강남구,특수,관용,2025,05,18
서울,강남구,특수,자가용,2025,05,377
서울,강남구,특수,영업용,2025,05,153
서울,강남구,특수,계,2025,05,548
서울,강남구,총계,관용,2025,05,425
서울,강남구,총계,자가용,2025,05,"235,992"
서울,강남구,총계,영업용,2025,05,"17,113"
서울,강남구,총계,계,2025,05,"253,530"
서울,강동구,승용,관용,2025,05,110
서울,강동구,승용,자가용,2025,05,"144,212"
서울,강동구,승용,영업용,2025,05,"5,056"
서울,강동구,승용,계,2025,05,"149,378"
서울,강동구,승합,관용,2025,05,41
서울,강동구,승합,자가용,2025,05,"3,196"
서울,강동구,승합,영업용,2025,05,615
서울,강동구,승합,계,2025,05,"3,852"
서울,강동구,화물,관용,2025,05,148
서울,강동구,화물,자가용,2025,05,"11,917"
서울,강동구,화물,영업용,2025,05,"2,617"
서울,강동구,화물,계,2025,05,"14,682"
서울,강동구,특수,관용,2025,05,7
서울,강동구,특수,자가용,2025,05,256
서울,강동구,특수,영업용,2025,05,211
서울,강동구,특수,계,2025,05,474
서울,강동구,총계,관용,2025,05,306
서울,강동구,총계,자가용,2025,05,"159,581"
서울,강동구,총계,영업용,2025,05,"8,499"
서울,강동구,총계,계,2025,05,"168,386"
서울,강북구,승용,관용,2025,05,117
서울,강북구,승용,자가용,2025,05,"59,876"
서울,강북구,승용,영업용,2025,05,"2,103"
서울,강북구,승용,계,2025,05,"62,096"
서울,강북구,승합,관용,2025,05,67
서울,강북구,승합,자가용,2025,05,"1,986"
서울,강북구,승합,영업용,2025,05,716
서울,강북구,승합,계,2025,05,"2,769"
서울,강북구,화물,관용,2025,05,129
서울,강북구,화물,자가용,2025,05,"6,608"
서울,강북구,화물,영업용,2025,05,"1,263"
서울,강북구,화물,계,2025,05,"8,000"
서울,강북구,특수,관용,2025,05,15
서울,강북구,특수,자가용,2025,05,151
서울,강북구,특수,영업용,2025,05,114
서울,강북구,특수,계,2025,05,280
